date,location,total_cases,new_deaths,stringency_index
14-08-2020,Germany,87555,260,14.57565682
15-08-2020,,63834,156,44.94338352
16-08-2020,France,70567,46,58.78843711
17-08-2020,USA,52762,323,94.85833549
18-08-2020,,98606,331,25.25277821
19-08-2020,Japan,12788,172,35.92507479
20-08-2020,USA,25442,129,37.93585899
21-08-2020,Brazil,37257,410,60.55381576
22-08-2020,France,67963,94,35.6732053
23-08-2020,Brazil,52183,114,53.35119253
24-08-2020,USA,65833,242,78.17903298
25-08-2020,,89145,,70.53855941
26-08-2020,Brazil,34798,291,44.63686465
27-08-2020,Germany,,281,86.42161777
28-08-2020,Brazil,22771,298,55.81402496
29-08-2020,France,25284,,53.99058395
,Germany,93484,68,
31-08-2020,,42207,147,98.66929804
01-09-2020,France,86302,10,12.29708085
02-09-2020,Japan,51763,253,23.11309124
03-09-2020,USA,15808,329,5.169683724
04-09-2020,India,92006,359,64.00029668
05-09-2020,Germany,49911,37,22.4701177
06-09-2020,France,2911,133,18.00104375
07-09-2020,France,56350,199,8.855558422
08-09-2020,Brazil,72182,22,10.33089571
09-09-2020,Brazil,34854,302,58.46707004
10-09-2020,Brazil,95842,345,68.82078659
11-09-2020,Germany,11511,301,39.73789885
12-09-2020,India,3011,362,47.98970816
13-09-2020,France,67370,395,68.5967736
14-09-2020,France,83863,217,1.737979019
15-09-2020,USA,8780,140,32.31306571
16-09-2020,Brazil,84996,103,97.30977481
17-09-2020,Brazil,83979,445,58.01122297
18-09-2020,USA,71395,209,25.42245799
19-09-2020,Brazil,88714,472,52.17300466
20-09-2020,India,11211,480,
21-09-2020,France,37604,110,53.22449888
22-09-2020,India,1902,103,12.57415118
23-09-2020,France,8255,315,13.27146538
24-09-2020,,73756,170,14.3542362
25-09-2020,Brazil,39484,459,93.98197919
26-09-2020,Japan,47354,491,
,Japan,22018,355,16.23818947
28-09-2020,India,86081,495,18.83490838
29-09-2020,Germany,60813,323,73.08294749
30-09-2020,India,30406,132,15.61638448
01-10-2020,Brazil,16746,375,23.45612933
02-10-2020,France,46943,292,96.33468328
03-10-2020,Germany,96701,327,25.53065247
04-10-2020,France,90835,126,66.16323504
05-10-2020,Germany,16471,105,97.86312874
06-10-2020,USA,77471,496,37.42967671
07-10-2020,USA,2149,91,1.751599086
08-10-2020,India,31716,286,24.41472904
09-10-2020,Japan,21032,377,83.08771913
10-10-2020,Brazil,29955,392,86.4608836
11-10-2020,Japan,61534,50,76.85193645
12-10-2020,USA,72794,28,11.31098191
13-10-2020,India,43116,461,
14-10-2020,Germany,7500,295,91.8677797
15-10-2020,Germany,42742,296,60.06095425
16-10-2020,Germany,15251,213,94.08753563
17-10-2020,France,51507,266,82.68388837
18-10-2020,USA,66790,406,66.6971517
19-10-2020,Germany,4599,256,57.71852367
20-10-2020,USA,6395,301,34.85736672
21-10-2020,Japan,,100,15.92874452
22-10-2020,India,12283,404,60.49539227
,Germany,29399,345,31.81115536
24-10-2020,India,12974,109,86.64386675
25-10-2020,France,32811,419,99.33369374
26-10-2020,USA,5639,181,75.24277626
27-10-2020,Brazil,53451,470,9.048169529
28-10-2020,USA,61367,312,28.86855955
29-10-2020,USA,48454,0,
30-10-2020,USA,2657,318,65.05116478
31-10-2020,Brazil,38460,437,76.51908646
01-11-2020,Brazil,82118,54,92.56748309
02-11-2020,Brazil,2300,370,43.81723464
,India,68597,423,90.13756496
04-11-2020,Brazil,,398,87.7891159
,Brazil,21457,148,31.71957168
06-11-2020,Germany,77605,430,86.89006255
07-11-2020,USA,,456,37.56722519
08-11-2020,Japan,61235,308,29.68692746
09-11-2020,USA,50208,136,64.90746588
10-11-2020,Japan,94279,201,32.83812279
11-11-2020,France,90372,435,63.02087483
12-11-2020,Japan,38567,312,60.98318055
13-11-2020,Japan,23428,116,56.34389273
14-11-2020,India,91512,153,38.04197042
15-11-2020,Japan,86931,424,54.84997217
16-11-2020,USA,4087,290,59.6485475
17-11-2020,Brazil,58971,62,54.56868885
18-11-2020,USA,22499,243,44.44194528
19-11-2020,Brazil,46314,24,1.466705705
20-11-2020,USA,99622,89,58.70617077
21-11-2020,Germany,86516,74,
22-11-2020,India,70371,293,64.25759689
23-11-2020,Brazil,44164,385,75.93443279
24-11-2020,Germany,70191,390,50.04453091
25-11-2020,Brazil,40918,209,54.2363665
,USA,45625,474,95.14785597
27-11-2020,Japan,19930,,84.71673614
28-11-2020,Brazil,17529,346,91.4236516
29-11-2020,France,6993,16,
30-11-2020,Japan,80009,127,10.89183418
01-12-2020,India,47433,426,14.8991856
02-12-2020,Brazil,3536,442,52.66237973
03-12-2020,France,74390,363,
04-12-2020,USA,76313,250,47.6695475
05-12-2020,Germany,5995,178,
06-12-2020,France,19838,,54.94142384
,India,30846,151,74.68757161
08-12-2020,India,49477,24,71.54909071
09-12-2020,India,,454,52.12341325
10-12-2020,Brazil,54145,179,82.23934188
11-12-2020,India,97988,197,43.08620915
12-12-2020,,39890,343,89.67142898
13-12-2020,India,5700,160,7.128027006
14-12-2020,,94760,176,95.466003
15-12-2020,Brazil,93279,284,65.46930814
,India,40864,62,38.00745089
17-12-2020,France,74643,490,19.71541266
18-12-2020,India,45814,149,47.91832294
19-12-2020,France,56935,153,19.45583232
20-12-2020,USA,73844,155,16.63316077
21-12-2020,Germany,56591,369,61.73517574
22-12-2020,India,18689,468,52.30847246
23-12-2020,,43584,,67.00960346
24-12-2020,Germany,83089,454,
25-12-2020,Brazil,36312,,53.22602133
26-12-2020,Japan,43625,83,58.09320533
27-12-2020,USA,47302,360,8.962633915
28-12-2020,Japan,32735,176,71.76357859
29-12-2020,Japan,63308,147,39.99052068
30-12-2020,France,33928,117,97.67252387
01-01-2020,Germany,18811,341,82.31740156
,India,3520,475,52.24810405
03-01-2020,USA,96852,62,12.32226542
04-01-2020,India,401,188,85.94157933
05-01-2020,India,45336,359,79.97810954
06-01-2020,Brazil,66335,48,18.45851295
07-01-2020,France,54340,326,29.52782892
08-01-2020,Germany,65826,256,79.34072581
09-01-2020,India,10592,223,18.52284465
10-01-2020,Japan,6202,140,91.77524892
11-01-2020,Germany,50436,477,42.45274252
12-01-2020,India,85414,214,8.703896259
13-01-2020,France,26741,434,81.57486435
14-01-2020,France,34684,378,37.3509683
15-01-2020,Japan,32845,439,52.64991942
16-01-2020,,23193,210,11.23043444
17-01-2020,Germany,66205,317,0.258401484
18-01-2020,Germany,51985,31,63.79852058
19-01-2020,France,36731,157,51.51751703
20-01-2020,India,73091,284,59.35385691
,India,4114,304,79.37438504
22-01-2020,Germany,11193,428,64.66059134
23-01-2020,India,18170,476,17.47734428
24-01-2020,France,35877,285,36.07725191
25-01-2020,Germany,57058,143,90.58911048
26-01-2020,Brazil,82174,423,76.99447003
27-01-2020,Japan,10829,18,55.66370579
28-01-2020,USA,99813,17,25.56449978
29-01-2020,Japan,45117,256,30.20605018
30-01-2020,,66420,77,73.19580676
31-01-2020,,27851,370,85.11742609
01-02-2020,Brazil,78169,174,67.14246695
02-02-2020,Japan,54848,497,
03-02-2020,Brazil,5901,193,76.66561352
04-02-2020,Japan,19290,475,14.9703968
05-02-2020,India,49789,112,42.39448129
06-02-2020,Brazil,51093,113,15.29838008
07-02-2020,Japan,29692,,23.52355848
08-02-2020,Brazil,,165,86.92596247
09-02-2020,USA,8816,434,47.28919656
10-02-2020,Brazil,88991,318,53.53581018
11-02-2020,USA,87645,131,17.84459652
12-02-2020,India,90012,384,31.2271786
13-02-2020,USA,70416,263,23.02461684
14-02-2020,Germany,2468,412,20.61861645
15-02-2020,USA,77675,,63.79607933
16-02-2020,Japan,6755,358,25.68838476
17-02-2020,Japan,70131,130,63.2015486
18-02-2020,Germany,76529,287,5.845461411
19-02-2020,France,91183,265,14.17743935
20-02-2020,Brazil,88022,457,27.4540254
21-02-2020,Brazil,55866,466,59.70469169
22-02-2020,India,13503,365,67.58412451
23-02-2020,India,32197,161,44.27169668
24-02-2020,France,,379,44.57909146
25-02-2020,Brazil,,480,72.45168514
26-02-2020,Germany,99257,86,1.582109177
27-02-2020,India,93948,54,34.10900245
28-02-2020,USA,53021,475,81.87070571
29-02-2020,Japan,49826,287,60.32194102
01-03-2020,France,50400,177,33.72271328
02-03-2020,Brazil,22777,390,90.55247923
03-03-2020,USA,55709,348,77.26227274
04-03-2020,USA,96925,7,26.48954472
05-03-2020,India,56761,320,64.52898375
06-03-2020,Germany,31124,312,59.57507282
07-03-2020,Japan,70413,246,40.1187914
08-03-2020,USA,53106,322,36.69560792
09-03-2020,France,95385,471,34.35604748
10-03-2020,Brazil,15438,470,61.71557834
11-03-2020,France,68127,442,44.24099365
12-03-2020,USA,,254,83.18631133
13-03-2020,Germany,80235,327,66.96026161
14-03-2020,Japan,19608,53,6.993160571
15-03-2020,USA,,248,64.01682238
16-03-2020,Brazil,48847,238,27.11474365
17-03-2020,,87242,228,59.28119917
18-03-2020,Brazil,87335,66,68.01319311
19-03-2020,Japan,54121,50,23.08291892
20-03-2020,Japan,66512,96,45.68586449
21-03-2020,USA,58435,91,19.03248628
,Germany,56279,494,5.233887579
23-03-2020,India,32193,263,37.84764235
24-03-2020,Brazil,69778,,36.29442718
25-03-2020,India,80838,290,99.54804907
26-03-2020,Germany,39834,95,44.63523512
27-03-2020,USA,72715,,33.35695495
28-03-2020,India,73623,77,58.04750067
29-03-2020,USA,94576,,8.876739411
30-03-2020,Japan,17119,119,96.1665736
31-03-2020,India,,301,63.49600456
01-04-2020,Germany,91894,490,75.48378199
02-04-2020,India,86772,399,17.04779382
03-04-2020,USA,73947,451,40.9477853
04-04-2020,USA,82850,499,42.26891134
05-04-2020,India,,164,82.18064439
06-04-2020,USA,28351,,0.123667976
07-04-2020,Brazil,26045,468,
08-04-2020,Brazil,90952,397,98.12363743
09-04-2020,Brazil,32317,222,47.48865435
,Japan,8408,310,38.25262802
11-04-2020,Germany,6049,431,11.9829002
12-04-2020,Germany,52090,465,97.41646286
13-04-2020,Brazil,1250,6,2.002635593
14-04-2020,France,89580,329,73.7180225
,India,74840,262,76.85998048
16-04-2020,Brazil,66717,160,24.36567161
17-04-2020,India,94941,150,67.15584436
18-04-2020,Japan,16996,84,9.292914438
19-04-2020,India,46275,146,25.70472664
20-04-2020,Germany,7905,,78.79019883
21-04-2020,Brazil,5337,380,86.4686192
22-04-2020,Germany,,402,60.84864127
23-04-2020,France,45643,35,50.68384318
24-04-2020,USA,56656,284,15.93040206
25-04-2020,Japan,3443,187,6.310903308
26-04-2020,India,13600,81,11.76490285
27-04-2020,Japan,53322,1,22.73573001
28-04-2020,Japan,29475,384,34.16745019
29-04-2020,USA,9762,302,38.09095255
30-04-2020,Brazil,17064,196,34.63217686
01-05-2020,USA,59738,403,23.90553322
02-05-2020,USA,73766,10,50.97242468
03-05-2020,USA,,233,82.52861082
04-05-2020,Germany,67315,385,27.97035385
05-05-2020,France,69142,194,94.23870191
06-05-2020,Japan,13384,470,87.33366617
07-05-2020,Brazil,72889,118,16.17642114
08-05-2020,France,84764,395,78.62759568
09-05-2020,Brazil,93568,19,57.45873823
10-05-2020,Japan,61489,260,56.65753622
11-05-2020,India,9535,292,39.10427631
12-05-2020,,54440,421,50.11529992
13-05-2020,Japan,44178,255,
14-05-2020,France,78932,221,53.97326188
15-05-2020,Japan,51393,392,62.79500528
16-05-2020,India,96081,225,67.43038064
17-05-2020,France,78881,52,53.24811926
18-05-2020,USA,60503,427,72.14220673
19-05-2020,France,29224,354,14.12780493
20-05-2020,India,95535,499,21.19824909
21-05-2020,USA,44019,341,81.87350041
22-05-2020,France,35347,363,32.25279778
23-05-2020,Brazil,94858,279,2.289382498
24-05-2020,USA,91847,80,15.37911497
25-05-2020,USA,62852,201,22.36144345
26-05-2020,Japan,56673,157,95.73228879
27-05-2020,Germany,59201,119,57.30414289
28-05-2020,Germany,26746,58,93.27307405
29-05-2020,France,23149,493,57.51633505
30-05-2020,India,79705,214,47.93544401
31-05-2020,Germany,,127,31.37276912
01-06-2020,Brazil,97479,223,60.63709444
02-06-2020,India,68485,208,13.91980246
03-06-2020,France,,369,89.82616273
04-06-2020,Germany,65517,114,82.93324051
05-06-2020,,23389,208,31.75314479
06-06-2020,Japan,9923,13,95.27975276
07-06-2020,USA,60260,8,82.52007674
,USA,42075,39,66.63068858
,Japan,9640,449,12.17619111
10-06-2020,Japan,16464,236,47.8234023
11-06-2020,Germany,4711,280,50.61075548
12-06-2020,Japan,27763,358,23.25513584
13-06-2020,France,52091,200,7.996539436
14-06-2020,India,57779,245,77.67236305
15-06-2020,USA,31077,277,12.20350521
16-06-2020,,94804,234,59.42907506
17-06-2020,India,49215,493,
18-06-2020,India,91107,3,87.61051926
19-06-2020,Japan,88323,153,27.77526237
,France,60990,441,85.14486376
21-06-2020,Germany,66487,28,0.033250612
22-06-2020,India,18171,,1.768780961
23-06-2020,Germany,59375,97,60.25531638
24-06-2020,France,72469,214,36.47982191
25-06-2020,Germany,12038,292,38.64608412
26-06-2020,France,35295,74,56.44410907
27-06-2020,India,91780,325,19.17824556
28-06-2020,India,4100,145,21.17553507
29-06-2020,India,70688,127,48.4601587
30-06-2020,USA,93710,340,75.42535443
01-07-2020,Germany,97956,41,61.94977514
02-07-2020,Germany,38404,355,29.73550482
03-07-2020,Germany,69549,40,43.03371775
04-07-2020,France,83086,421,17.06647585
05-07-2020,,89743,33,7.462981434
06-07-2020,USA,20864,16,78.26960407
07-07-2020,Japan,86127,164,26.53874092
08-07-2020,Germany,38594,152,17.77663879
09-07-2020,France,3473,485,69.16180556
10-07-2020,Germany,12261,377,61.80516743
11-07-2020,Japan,97632,75,63.3189626
12-07-2020,Japan,92758,86,22.88946048
13-07-2020,India,27450,116,23.26455386
14-07-2020,Japan,93108,361,22.08026298
15-07-2020,Japan,94397,341,17.37525957
16-07-2020,India,25451,468,65.57236726
17-07-2020,USA,88768,26,84.80158852
18-07-2020,India,15405,312,72.43174697
19-07-2020,Brazil,75453,286,79.20936338
20-07-2020,Germany,76897,133,40.47984291
21-07-2020,Germany,66053,218,65.40757954
22-07-2020,Brazil,57558,167,35.42362404
23-07-2020,India,20458,97,52.5504622
24-07-2020,France,3367,267,48.16348465
25-07-2020,Germany,82845,236,17.68871451
26-07-2020,India,89688,308,38.70787603
27-07-2020,Brazil,38613,454,96.38222755
,Brazil,26192,,24.85802577
29-07-2020,,11438,172,13.38037363
30-07-2020,Brazil,512,400,41.85806216
31-07-2020,,7643,409,79.03377359
01-08-2020,Brazil,33596,468,
02-08-2020,France,60792,475,68.09748272
03-08-2020,India,89184,189,18.96948482
,Brazil,93020,121,61.8948193
05-08-2020,USA,44525,45,32.35003949
06-08-2020,Japan,38856,63,83.4303366
07-08-2020,Germany,18988,129,62.9298806
08-08-2020,USA,35835,309,19.88562778
09-08-2020,Germany,47395,362,6.461667984
10-08-2020,India,83142,192,4.263320929
11-08-2020,France,86099,306,37.14085677
12-08-2020,India,18055,180,26.58511367
,Brazil,37941,291,64.60901235
14-08-2020,India,70740,370,49.9333835
15-08-2020,Brazil,,281,
16-08-2020,USA,35011,28,14.9237778
17-08-2020,Japan,59131,148,12.71997627
18-08-2020,Germany,88826,266,86.46603921
19-08-2020,Brazil,7457,295,24.34779684
20-08-2020,Germany,32579,10,65.17106479
21-08-2020,India,61576,163,81.0685928
22-08-2020,Japan,44911,112,61.40813112
23-08-2020,Japan,36308,186,85.95652316
24-08-2020,Japan,20250,294,39.23937215
25-08-2020,France,71280,231,95.62221906
26-08-2020,India,43386,226,
27-08-2020,France,68550,309,10.21495297
28-08-2020,India,21452,97,65.86921462
29-08-2020,India,55169,54,94.28311414
30-08-2020,Brazil,14497,110,80.88834616
31-08-2020,USA,41655,,7.641685944
01-09-2020,Brazil,47059,245,27.93677139
02-09-2020,,828,405,93.03188848
03-09-2020,Brazil,50617,68,25.30584328
04-09-2020,Japan,66334,311,
05-09-2020,USA,40054,288,82.51321959
06-09-2020,India,47380,249,49.54521035
07-09-2020,Germany,79559,35,38.63489098
08-09-2020,Japan,16879,238,45.01244324
09-09-2020,Brazil,64032,147,22.69646944
10-09-2020,,73036,466,88.93909161
11-09-2020,Germany,24566,226,45.06196567
12-09-2020,Germany,37039,243,88.24594405
13-09-2020,Japan,69996,490,10.56934799
14-09-2020,India,35370,336,98.8275271
15-09-2020,,59263,445,44.32730874
16-09-2020,USA,82737,364,4.783082039
17-09-2020,Brazil,52034,490,3.802184824
18-09-2020,Japan,64995,481,
19-09-2020,France,32407,200,65.90355342
20-09-2020,Germany,54198,153,80.21305581
21-09-2020,India,61021,449,10.5367534
22-09-2020,France,5586,72,3.557086704
23-09-2020,India,8435,200,50.85792894
24-09-2020,India,87000,295,38.75952315
25-09-2020,,89212,16,46.19469367
26-09-2020,USA,97303,128,99.15884089
27-09-2020,Brazil,11230,216,97.07499577
28-09-2020,USA,87608,60,94.23153897
29-09-2020,Germany,60666,426,
30-09-2020,Germany,66803,103,35.48413603
01-10-2020,India,27292,,41.21309303
02-10-2020,Japan,1162,24,54.96160437
03-10-2020,India,84176,38,83.05344564
04-10-2020,France,89880,,6.871283252
05-10-2020,France,21645,130,42.42968859
06-10-2020,Brazil,21789,497,8.261766346
07-10-2020,USA,11274,228,51.46575866
08-10-2020,Japan,,107,89.8900824
09-10-2020,India,,171,78.24849246
10-10-2020,France,23814,434,22.78424175
11-10-2020,Germany,38202,477,97.59908496
12-10-2020,France,74560,101,66.7350398
13-10-2020,France,90030,353,1.04276994
14-10-2020,France,6901,11,25.54134847
15-10-2020,USA,72367,274,26.07132999
16-10-2020,Germany,48236,100,6.925430629
17-10-2020,Germany,23725,43,95.98265181
18-10-2020,Germany,82973,442,47.82552946
19-10-2020,Brazil,72692,304,89.58145974
20-10-2020,Brazil,,,32.22155034
21-10-2020,Japan,44361,16,12.52335704
22-10-2020,India,1642,329,47.43361099
23-10-2020,Brazil,21777,56,
24-10-2020,India,46832,310,48.6015503
25-10-2020,France,50443,496,92.02971812
26-10-2020,USA,39181,302,52.07681418
27-10-2020,USA,62956,11,61.64997269
28-10-2020,Japan,93205,317,15.6638437
29-10-2020,Brazil,88958,79,4.373562588
30-10-2020,Japan,19165,215,11.08079622
31-10-2020,Japan,83560,338,59.85315757
01-11-2020,India,,263,9.501169899
02-11-2020,,54793,478,
03-11-2020,France,27062,148,55.00919405
04-11-2020,India,28395,80,38.86527986
,France,13907,214,16.36838015
06-11-2020,Brazil,42448,484,27.37913075
07-11-2020,,26532,373,92.83175328
08-11-2020,Germany,83385,463,67.59822756
09-11-2020,USA,91892,197,49.60478387
10-11-2020,Germany,57954,199,1.271488999
