Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025
155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
157,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
158,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
159,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
160,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
161,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
162,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
163,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
164,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
165,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
166,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
167,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
168,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
169,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
170,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
171,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
172,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
173,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
174,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
175,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128
176,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
177,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
178,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
179,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
180,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
181,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
182,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
183,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
184,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
185,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
186,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
187,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
188,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
189,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
190,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
191,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
192,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
193,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11
194,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
195,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
196,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
197,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24
198,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
199,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
200,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
201,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
202,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006
203,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
204,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
205,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
206,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
207,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097
208,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
209,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
210,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
211,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
212,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
213,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
214,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
215,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
216,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
217,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
218,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
219,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
220,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162
221,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
222,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
223,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
224,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
225,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
226,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
227,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0
228,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
229,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
230,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
231,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
232,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
233,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
234,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
235,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
236,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
237,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
238,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
239,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
240,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
241,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
242,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
243,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
244,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
245,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
246,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
247,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
248,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
249,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1
250,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
251,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167
252,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
253,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
254,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
255,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09
256,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
257,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
258,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
259,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093
260,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
261,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
262,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
263,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
264,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
265,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
266,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
267,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
268,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27
269,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
270,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
271,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
272,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
273,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
274,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
275,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
276,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
277,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
278,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
279,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
280,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
281,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
282,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
283,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
284,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
285,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
286,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
287,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
288,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
289,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
290,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
291,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135
292,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
293,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
294,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
295,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
296,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
297,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
298,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
299,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
300,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
301,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
302,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
303,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
304,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
305,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
306,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
307,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
308,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
309,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
310,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025
311,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035
312,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
313,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
314,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
315,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
316,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
317,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
318,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
319,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
320,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
321,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
322,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
323,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
324,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
325,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
326,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
327,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
328,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
329,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
330,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
331,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128
332,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
333,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
334,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
335,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
336,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
337,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
338,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
339,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
340,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
341,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
342,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
343,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
344,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
345,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
346,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
347,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
348,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
349,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11
350,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
351,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
352,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
353,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24
354,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
355,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
356,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
357,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
358,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006
359,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
360,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
361,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
362,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
363,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097
364,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
365,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
366,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
367,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
368,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
369,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
370,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
371,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
372,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
373,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
374,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
375,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
376,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162
377,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
378,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
379,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
380,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
381,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
382,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
383,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0
384,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
385,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
386,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
387,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
388,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
389,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
