PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
66,1,1,Passenger 66,female,,0,2,TKT10066,193.62,,Q
67,1,3,Passenger 67,male,14,0,3,TKT10067,96.94,,
68,0,2,Passenger 68,female,64,2,3,TKT10068,23.95,C107,S
69,1,1,Passenger 69,female,36,0,2,TKT10069,139.6,C92,S
70,0,1,Passenger 70,female,59,1,1,TKT10070,134.24,,C
71,0,3,Passenger 71,female,19,1,0,TKT10071,59.07,,S
72,1,3,Passenger 72,male,3,0,3,TKT10072,56.75,,S
73,0,2,Passenger 73,female,,3,0,TKT10073,94.32,C19,S
74,1,2,Passenger 74,female,,0,0,TKT10074,79.28,,C
75,1,2,Passenger 75,female,,2,1,TKT10075,86.12,,S
76,1,3,Passenger 76,male,48,3,2,TKT10076,113.49,C109,S
77,0,2,Passenger 77,female,74,0,2,TKT10077,35.17,C144,S
78,1,2,Passenger 78,male,4,1,1,TKT10078,58.29,,C
79,0,2,Passenger 79,female,68,2,0,TKT10079,78.36,,S
80,0,2,Passenger 80,female,,0,2,TKT10080,85.77,,Q
81,0,2,Passenger 81,female,1,2,0,TKT10081,,C45,C
82,1,1,Passenger 82,female,46,0,2,TKT10082,82.43,,
83,0,2,Passenger 83,male,,1,3,TKT10083,167.25,,
84,0,2,Passenger 84,female,22,1,1,TKT10084,104.54,,C
85,1,3,Passenger 85,female,,2,1,TKT10085,95.47,,Q
86,1,2,Passenger 86,male,,0,3,TKT10086,95.04,,S
87,1,1,Passenger 87,female,,0,1,TKT10087,102.77,C113,C
88,0,2,Passenger 88,male,44,4,3,TKT10088,158.9,C39,Q
89,0,2,Passenger 89,female,,2,1,TKT10089,30.15,C135,S
90,1,1,Passenger 90,male,,1,1,TKT10090,40.15,C26,S
91,0,3,Passenger 91,female,,0,3,TKT10091,35.08,C114,Q
92,0,2,Passenger 92,female,,3,2,TKT10092,193.29,,
93,1,3,Passenger 93,male,,4,0,TKT10093,15.18,C70,
94,1,1,Passenger 94,female,,4,2,TKT10094,177.5,C96,C
95,1,3,Passenger 95,male,43,3,3,TKT10095,31.83,C5,Q
96,1,1,Passenger 96,male,,1,3,TKT10096,26.68,,S
97,0,3,Passenger 97,female,3,1,3,TKT10097,145.12,,Q
98,1,2,Passenger 98,female,65,0,2,TKT10098,81.14,,S
99,0,3,Passenger 99,female,,3,1,TKT10099,111.47,,
100,1,2,Passenger 100,male,,1,2,TKT10100,187.01,C85,Q
101,1,2,Passenger 101,female,,0,3,TKT10101,71.11,,C
102,0,3,Passenger 102,female,,2,3,TKT10102,91.95,C91,
103,0,1,Passenger 103,male,,4,3,TKT10103,75.85,,Q
104,0,3,Passenger 104,male,,4,2,TKT10104,190.02,,C
105,1,3,Passenger 105,female,,1,2,TKT10105,183.14,C52,S
106,1,3,Passenger 106,female,57,0,2,TKT10106,163.05,C45,Q
107,1,2,Passenger 107,male,18,4,0,TKT10107,159.12,,
108,1,2,Passenger 108,female,10,1,1,TKT10108,194.61,,S
109,1,1,Passenger 109,female,,1,2,TKT10109,187.27,,S
110,1,3,Passenger 110,male,20,0,0,TKT10110,133.45,,Q
111,1,2,Passenger 111,male,,3,2,TKT10111,178.35,,C
112,1,2,Passenger 112,male,78,2,0,TKT10112,65.95,,Q
113,0,2,Passenger 113,female,,1,1,TKT10113,53.41,,
114,1,1,Passenger 114,male,,2,3,TKT10114,193.5,C121,Q
115,1,1,Passenger 115,male,,2,2,TKT10115,153.95,,Q
116,1,3,Passenger 116,female,17,1,1,TKT10116,81.81,,S
117,0,2,Passenger 117,female,,1,3,TKT10117,34.04,C77,Q
118,0,2,Passenger 118,female,,0,3,TKT10118,399.37,,C
119,0,3,Passenger 119,male,,1,0,TKT10119,33.82,,
120,1,3,Passenger 120,female,61,4,3,TKT10120,142.63,,Q
121,1,1,Passenger 121,female,,2,1,TKT10121,42.49,,
122,1,2,Passenger 122,female,,1,2,TKT10122,28.77,C21,Q
123,1,1,Passenger 123,male,28,4,1,TKT10123,166.45,,C
124,0,2,Passenger 124,female,61,3,1,TKT10124,137.83,,Q
125,0,1,Passenger 125,female,74,1,0,TKT10125,109.35,,
126,0,2,Passenger 126,female,38,3,3,TKT10126,6.81,,
127,1,3,Passenger 127,male,,1,3,TKT10127,401.13,,S
128,1,2,Passenger 128,female,,2,0,TKT10128,415.07,,C
129,1,2,Passenger 129,male,,1,1,TKT10129,139.61,,Q
130,0,3,Passenger 130,female,69,4,2,TKT10130,153.56,,S
131,1,1,Passenger 131,male,69,4,3,TKT10131,37.08,,S
132,0,2,Passenger 132,female,,0,1,TKT10132,136.19,,Q
133,0,3,Passenger 133,female,,2,3,TKT10133,11.19,C97,
134,1,3,Passenger 134,male,,1,0,TKT10134,28.13,C119,
135,0,1,Passenger 135,female,45,4,0,TKT10135,58.75,,S
136,0,1,Passenger 136,male,32,4,2,TKT10136,83.44,C148,Q
137,0,2,Passenger 137,female,,2,0,TKT10137,175.87,,C
138,1,2,Passenger 138,male,,2,3,TKT10138,158.23,,C
139,0,2,Passenger 139,male,60,2,1,TKT10139,114.67,,
140,0,1,Passenger 140,male,25,4,1,TKT10140,57.35,C86, s 
141,0,2,Passenger 141,male,,4,2,TKT10141,183.32,,Q
142,1,1,Passenger 142,female,60,2,3,TKT10142,161.55,C38,S
143,1,3,Passenger 143,male,,3,2,TKT10143,34.72,C126,
144,0,3,Passenger 144,male,,0,0,TKT10144,40.89,,C
145,1,3,Passenger 145,female,,0,0,TKT10145,16.79,,S
146,0,1,Passenger 146,male,,1,1,TKT10146,162.2,,Q
147,0,2,Passenger 147,male,,0,0,TKT10147,115.18,, s 
148,0,3,Passenger 148,male,,1,1,TKT10148,130.76,,
149,0,1,Passenger 149,male,36,3,0,TKT10149,39.97,,
150,0,1,Passenger 150,female,18,1,0,TKT10150,102.65,C102,Q
151,1,1,Passenger 151,female,63,0,2,TKT10151,74.38,C22,Q
152,1,2,Passenger 152,female,,2,0,TKT10152,75.34,,
153,1,2,Passenger 153,male,,2,3,TKT10153,113.07,,C
154,0,1,Passenger 154,female,,2,3,TKT10154,63.72,C93,Q
155,0,2,Passenger 155,female,79,4,3,TKT10155,94.28,,Q
156,0,2,Passenger 156,female,77,1,3,TKT10156,63.58,,
157,0,3,Passenger 157,male,,4,0,TKT10157,76.18,,C
158,1,3,Passenger 158,male,,3,3,TKT10158,32.14,C123,
159,0,1,Passenger 159,male,54,2,1,TKT10159,159.19,,
160,0,2,Passenger 160,female,14,3,3,TKT10160,24.23,,C
161,0,2,Passenger 161,female,54,2,3,TKT10161,27.63,,Q
162,0,1,Passenger 162,female,41,0,1,TKT10162,63.55,C133,C
163,0,3,Passenger 163,female,60,3,0,TKT10163,160.56,C116,
164,1,2,Passenger 164,male,9,3,0,TKT10164,160.9,C136,Q
165,1,3,Passenger 165,male,,1,2,TKT10165,169.88,,C
166,1,3,Passenger 166,male,77,4,1,TKT10166,117.09,,Q
167,1,2,Passenger 167,female,,3,3,TKT10167,31.62,,S
168,1,3,Passenger 168,male,,4,0,TKT10168,37.8,,Q
169,0,2,Passenger 169,male,57,3,2,TKT10169,198.01,C113,S
170,1,1,Passenger 170,male,,1,1,TKT10170,172.9,,Q
171,0,1,Passenger 171,female,,0,2,TKT10171,116.68,,C
172,1,2,Passenger 172,female,-1,0,0,TKT10172,32.72,C95,
173,1,1,Passenger 173,female,,1,3,TKT10173,170.77,C87,C
174,1,1,Passenger 174,male,7,1,3,TKT10174,24.42,C110,C
175,0,3,Passenger 175,female,39,2,0,TKT10175,175.51,C43,S
176,0,1,Passenger 176, Male ,,0,1,TKT10176,132.82,,
177,0,3,Passenger 177,male,55,0,2,TKT10177,98.15,,
178,1,2,Passenger 178,male,19,1,3,TKT10178,495.01,,C
179,0,1,Passenger 179,female,,0,1,TKT10179,73.55,,Q
180,1,2,Passenger 180,male,39,1,3,TKT10180,105.96,,S
181,1,2,Passenger 181,male,41,3,0,TKT10181,,,Q
182,1,2,Passenger 182,female,,0,1,TKT10182,127.57,,C
183,0,1,Passenger 183,male,76,0,3,TKT10183,65.48,,S
184,0,2,Passenger 184,female,16,4,2,TKT10184,143.04,,Q
185,0,2,Passenger 185,female,,4,2,TKT10185,58.04,C43,Q
186,0,1,Passenger 186,male,15,3,2,TKT10186,557.61,,S
187,1,2,Passenger 187,male,54,4,2,TKT10187,67.75,,S
188,1,2,Passenger 188,male,52,4,3,TKT10188,,,Q
189,0,1,Passenger 189,male,64,3,0,TKT10189,147.83,, s 
190,1,2,Passenger 190,male,40,1,2,TKT10190,45.01,C134,
191,1,1,Passenger 191,male,11,3,1,TKT10191,103.56,,Q
192,0,1,Passenger 192,male,,1,0,TKT10192,93.29,,
193,0,1,Passenger 193,female,,4,0,TKT10193,95.35,C38,S
194,0,2,Passenger 194,female,,4,1,TKT10194,55.73,,C
195,0,3,Passenger 195,female,29,0,0,TKT10195,43.64,,
196,0,3,Passenger 196,female,43,3,3,TKT10196,13.33,,C
197,0,3,Passenger 197,female,58,3,3,TKT10197,11.76,,S
198,0,2,Passenger 198,female,68,3,3,TKT10198,128,,Q
199,0,2,Passenger 199,female,29,4,1,TKT10199,179.67,,C
200,1,2,Passenger 200,male,8,1,1,TKT10200,117.26,C92,S
201,1,3,Passenger 201, Male ,19,1,3,TKT10201,168.16,,C
202,0,2,Passenger 202,male,79,0,1,TKT10202,162.26,C29,Q
203,0,3,Passenger 203,female,51,3,2,TKT10203,70.63,C92,C
204,1,3,Passenger 204,male,38,1,2,TKT10204,510.6,C57,S
205,0,3,Passenger 205,female,,3,0,TKT10205,196.56,,S
206,0,2,Passenger 206,female,,3,2,TKT10206,90.45,,
207,0,2,Passenger 207,male,29,2,2,TKT10207,93,,C
208,1,3,Passenger 208,male,,3,1,TKT10208,120.84,,S
209,0,1,Passenger 209,female,,4,3,TKT10209,133.82,,
210,1,1,Passenger 210,female,62,0,2,TKT10210,23.91,,Q
211,1,2,Passenger 211,female,,1,2,TKT10211,41.38,,S
212,1,3,Passenger 212,female,76,4,1,TKT10212,112.95,,S
213,0,1,Passenger 213,male,80,1,1,TKT10213,28.45,,
214,0,1,Passenger 214,female,,4,3,TKT10214,67.35,C134, s 
215,0,1,Passenger 215,male,,2,2,TKT10215,26.94,,
216,1,1,Passenger 216,female,52,2,1,TKT10216,125.56,,Q
217,0,1,Passenger 217,male,,2,3,TKT10217,59.67,,
218,0,3,Passenger 218,male,,0,2,TKT10218,153.1,,S
219,1,3,Passenger 219,male,8,2,2,TKT10219,11.45,,S
220,1,2,Passenger 220,male,58,2,0,TKT10220,192.3,,C
221,1,3,Passenger 221,male,29,0,3,TKT10221,137.15,,S
222,1,2,Passenger 222, Male ,,3,2,TKT10222,179.62,C102,S
223,0,2,Passenger 223,female,,2,2,TKT10223,63.2,C77,C
224,0,3,Passenger 224,female,,2,2,TKT10224,133.8,,S
225,1,3,Passenger 225,female,44,4,2,TKT10225,138.83,C143,C
226,0,1,Passenger 226,female,72,1,2,TKT10226,189.65,C96,Q
227,0,3,Passenger 227,female,7,4,2,TKT10227,97.08,C39,C
228,0,2,Passenger 228,female,59,1,2,TKT10228,66.69,,Q
229,0,3,Passenger 229,female,,3,3,TKT10229,158.12,,S
230,0,3,Passenger 230,male,,1,1,TKT10230,152.59,,C
231,1,2,Passenger 231, Male ,9,2,3,TKT10231,63.15,,
232,1,3,Passenger 232,male,28,3,2,TKT10232,119.99,,S
233,1,2,Passenger 233,male,,1,0,TKT10233,91.64,,Q
234,1,1,Passenger 234,male,14,2,1,TKT10234,60.13,,C
235,0,3,Passenger 235,female,,1,0,TKT10235,326.7,,S
236,0,1,Passenger 236, Male ,,2,2,TKT10236,95.53,,S
237,1,3,Passenger 237,male,,2,2,TKT10237,179.43,,
238,0,1,Passenger 238,male,54,3,3,TKT10238,27.05,,C
239,1,2,Passenger 239,male,,0,2,TKT10239,184.48,,C
240,1,2,Passenger 240,female,67,1,0,TKT10240,,C130,
241,0,3,Passenger 241,male,,4,3,TKT10241,51.97,,
242,0,1,Passenger 242,female,,3,0,TKT10242,66.63,,S
243,1,2,Passenger 243,male,66,1,3,TKT10243,132.65,C122,Q
244,1,3,Passenger 244,female,29,0,0,TKT10244,71.56,,
245,1,1,Passenger 245,female,51,0,0,TKT10245,94.12,, s 
246,0,3,Passenger 246,male,,1,0,TKT10246,168.57,,Q
247,1,2,Passenger 247,male,,1,3,TKT10247,82.58,C132,Q
248,1,3,Passenger 248,female,71,1,1,TKT10248,44.17,,Q
249,1,2,Passenger 249,male,,4,0,TKT10249,136.48,,S
250,1,1,Passenger 250,male,,2,3,TKT10250,33.55,C144,C
251,1,3,Passenger 251,male,37,0,2,TKT10251,185.66,C114,C
252,1,2,Passenger 252,male,76,0,1,TKT10252,156.35,C31,
253,0,1,Passenger 253,male,,2,0,TKT10253,6.1,,Q
254,0,2,Passenger 254,female,41,0,2,TKT10254,191.61,,Q
255,0,1,Passenger 255,female,,3,1,TKT10255,199.34,,C
256,0,3,Passenger 256,female,,4,3,TKT10256,55.04,,C
257,0,3,Passenger 257,female,69,0,1,TKT10257,127.25,C112,S
258,1,3,Passenger 258,male,43,4,1,TKT10258,22.07,,
259,0,3,Passenger 259,male,16,2,0,TKT10259,130.08,,S
260,1,3,Passenger 260,female,,1,2,TKT10260,35.48,C96,S
261,1,1,Passenger 261,female,,1,3,TKT10261,109.74,C37,C
262,0,3,Passenger 262,female,15,4,0,TKT10262,135.84,,S
263,1,3,Passenger 263,male,46,1,2,TKT10263,135.9,,Q
264,0,3,Passenger 264,female,,2,2,TKT10264,37.88,C123,
265,1,1,Passenger 265,male,14,2,0,TKT10265,130.88,C130,S
266,1,3,Passenger 266,male,28,2,3,TKT10266,112.56,C75,C
267,0,3,Passenger 267,male,65,3,1,TKT10267,134.22,C38,
268,0,3,Passenger 268,female,30,3,3,TKT10268,56.55,C11,Q
269,1,3,Passenger 269,female,,2,0,TKT10269,117.83,,C
270,1,1,Passenger 270,male,,0,2,TKT10270,564.61,,Q
271,1,2,Passenger 271,male,,4,1,TKT10271,145.45,,C
272,0,2,Passenger 272,male,66,4,3,TKT10272,178.71,,S
273,1,1,Passenger 273,male,11,3,1,TKT10273,92.59,C47,Q
274,0,1,Passenger 274,male,77,4,3,TKT10274,49.81,,C
275,0,3,Passenger 275,female,69,4,3,TKT10275,23.17,,
276,0,2,Passenger 276,male,,2,3,TKT10276,119.86,C22,Q
277,0,2,Passenger 277,male,1,2,3,TKT10277,117.71,,Q
278,0,2,Passenger 278,female,,1,2,TKT10278,198.4,,Q
279,0,1,Passenger 279,male,18,4,3,TKT10279,150.82,C14,C
280,0,2,Passenger 280,male,,2,0,TKT10280,185.54,C103,Q
281,1,1,Passenger 281,male,,4,1,TKT10281,90.6,, s 
282,0,3,Passenger 282,male,,0,0,TKT10282,73.86,C144,Q
283,1,1,Passenger 283,female,,4,0,TKT10283,186.29,,Q
284,1,1,Passenger 284,female,,3,3,TKT10284,140.37,C124,S
285,1,3,Passenger 285,male,29,2,1,TKT10285,161.03,,Q
286,0,2,Passenger 286,male,46,1,1,TKT10286,179.39,,C
287,1,3,Passenger 287,male,14,4,0,TKT10287,184.44,,Q
288,1,2,Passenger 288,male,,4,1,TKT10288,40.66,C123,S
289,1,2,Passenger 289,male,,0,1,TKT10289,195.42,,Q
290,1,1,Passenger 290,female,,3,1,TKT10290,96.91,C94,
291,0,3,Passenger 291,female,74,3,1,TKT10291,163.77,C39,
292,0,2,Passenger 292,male,,1,0,TKT10292,158.14,,S
293,1,3,Passenger 293,male,,4,1,TKT10293,72.11,,Q
294,0,1,Passenger 294,female,,3,3,TKT10294,124.66,,C
295,1,3,Passenger 295,female,,3,1,TKT10295,57.89,,C
296,0,2,Passenger 296,male,11,0,3,TKT10296,37.55,C27,Q
297,1,3,Passenger 297,male,,1,1,TKT10297,49.72,,Q
298,0,3,Passenger 298,female,,4,3,TKT10298,31.35,,Q
299,0,2,Passenger 299,male,,0,1,TKT10299,65.03,,S
300,0,1,Passenger 300,female,39,1,3,TKT10300,154.34,,C
301,0,3,Passenger 301,female,49,2,2,TKT10301,56.28,C47,C
302,0,1,Passenger 302,male,,2,2,TKT10302,314.89,,S
303,1,2,Passenger 303,male,,2,0,TKT10303,65.76,C15,Q
304,0,3,Passenger 304,male,,3,3,TKT10304,164.36,C51,
305,1,1,Passenger 305,male,,4,0,TKT10305,80.88,,C
306,0,2,Passenger 306,male,15,3,1,TKT10306,,,
307,1,3,Passenger 307,male,32,0,2,TKT10307,102.48,C28,C
308,1,2,Passenger 308,male,,2,0,TKT10308,147.97,,Q
309,0,1,Passenger 309, Male ,,3,2,TKT10309,68.12,,
310,0,2,Passenger 310,male,24,4,3,TKT10310,125.85,,C
311,0,1,Passenger 311,male,15,1,0,TKT10311,107.02,,
312,0,1,Passenger 312,male,33,3,0,TKT10312,76.44,,Q
313,0,3,Passenger 313,male,48,2,0,TKT10313,165.61,C25,S
314,1,3,Passenger 314,male,68,4,2,TKT10314,116.16,C110,S
315,1,2,Passenger 315,female,44,2,3,TKT10315,109.11,,Q
316,1,1,Passenger 316,male,,2,0,TKT10316,75.2,C78,S
317,0,1,Passenger 317,male,,3,2,TKT10317,184.23,,C
318,1,1,Passenger 318,female,52,4,0,TKT10318,148.18,,
319,0,3,Passenger 319,male,,3,0,TKT10319,86.22,,C
320,0,1,Passenger 320,female,,2,3,TKT10320,151.8,,
321,0,1,Passenger 321,female,,4,1,TKT10321,102.86,,C
322,0,1,Passenger 322,female,32,3,2,TKT10322,56.92,,S
323,0,1,Passenger 323,female,57,1,0,TKT10323,90.89,,C
324,0,3,Passenger 324,male,,1,2,TKT10324,92.76,,C
325,0,3,Passenger 325,female,68,0,3,TKT10325,54.81,,
326,1,1,Passenger 326,female,47,4,0,TKT10326,8.72,,S
327,1,2,Passenger 327,female,3,1,0,TKT10327,53.24,,Q
328,0,3,Passenger 328,female,,1,1,TKT10328,176.34,,C
329,1,2,Passenger 329,female,79,3,1,TKT10329,86.38,,C
330,0,3,Passenger 330,male,68,2,0,TKT10330,88.86,C31,C
331,1,1,Passenger 331,male,,0,1,TKT10331,192.43,C69,C
332,1,3,Passenger 332,female,,1,3,TKT10332,31.15,,C
333,0,1,Passenger 333,male,,1,3,TKT10333,48.4,,Q
334,0,3,Passenger 334,male,,3,3,TKT10334,145.44,,C
335,0,1,Passenger 335,female,,3,3,TKT10335,105.64,C74,
336,0,3,Passenger 336,male,67,1,1,TKT10336,95.4,,S
337,0,3,Passenger 337,male,,0,0,TKT10337,22.59,,S
338,0,2,Passenger 338,male,66,1,1,TKT10338,78.84,C108,Q
339,0,3,Passenger 339,female,24,0,3,TKT10339,180.22,,S
340,0,1,Passenger 340,female,,4,1,TKT10340,84.98,,Q
341,0,2,Passenger 341,male,,1,2,TKT10341,69.57,,C
342,1,1,Passenger 342,female,5,4,0,TKT10342,154.86,,Q
343,0,2,Passenger 343,female,27,3,2,TKT10343,26.31,,Q
344,0,3,Passenger 344,female,,1,0,TKT10344,162.56,,S
345,0,1,Passenger 345,male,,2,2,TKT10345,13.87,,Q
346,1,3,Passenger 346,female,51,3,0,TKT10346,167.25,,
347,1,3,Passenger 347,male,53,1,2,TKT10347,167.85,C91,S
348,0,2,Passenger 348,female,49,0,2,TKT10348,116.34,,C
349,0,1,Passenger 349,male,,3,0,TKT10349,39.13,C40,C
350,0,1,Passenger 350,male,,3,3,TKT10350,32.94,,S
351,1,1,Passenger 351,female,,1,2,TKT10351,96.04,,Q
352,0,1,Passenger 352,female,,4,2,TKT10352,27.32,C73,C
353,0,1,Passenger 353,female,,0,0,TKT10353,14.89,,
354,1,3,Passenger 354,male,69,0,3,TKT10354,194.87,,
355,1,2,Passenger 355,female,,3,0,TKT10355,183.01,,
356,0,2,Passenger 356,male,78,2,3,TKT10356,104.05,,C
357,1,3,Passenger 357,female,44,4,1,TKT10357,163.71,,
358,0,3,Passenger 358,male,,4,3,TKT10358,39.35,,S
359,1,2,Passenger 359,female,1,1,1,TKT10359,133.87,,Q
360,1,1,Passenger 360,female,45,0,2,TKT10360,118.63,C1,Q
361,1,2,Passenger 361,female,,4,1,TKT10361,126.92,,C
362,0,1,Passenger 362,male,54,0,0,TKT10362,61.25,C112,C
363,1,3,Passenger 363,female,,3,2,TKT10363,126.53,,S
364,1,1,Passenger 364,male,,4,3,TKT10364,85.11,,
365,0,1,Passenger 365,female,,0,2,TKT10365,95.66,C137,S
366,1,2,Passenger 366,male,,0,2,TKT10366,73.82,,S
367,0,2,Passenger 367,female,38,1,2,TKT10367,60.93,,S
368,0,2,Passenger 368,male,,4,0,TKT10368,162.53,,C
369,0,1,Passenger 369,female,,0,2,TKT10369,51.4,,C
370,1,2,Passenger 370,male,69,4,3,TKT10370,,C115,
371,1,3,Passenger 371,female,6,2,2,TKT10371,183.95,,
372,0,2,Passenger 372,male,76,0,0,TKT10372,,,S
373,0,3,Passenger 373,male,33,4,0,TKT10373,11.64,,C
374,1,3,Passenger 374,male,24,3,2,TKT10374,140.65,,Q
375,1,2,Passenger 375,male,,3,0,TKT10375,80.78,C101,C
376,1,3,Passenger 376,female,56,0,0,TKT10376,124.72,, s 
377,1,2,Passenger 377,male,1,4,3,TKT10377,134.6,, s 
378,1,2,Passenger 378,female,62,3,0,TKT10378,115.61,C24,Q
379,0,2,Passenger 379,male,,2,3,TKT10379,131.32,,Q
380,0,2,Passenger 380,female,25,0,2,TKT10380,11.96,C116,S
381,1,3,Passenger 381,male,,4,1,TKT10381,28.05,, s 
382,0,1,Passenger 382,male,80,2,0,TKT10382,52.32,,S
383,1,3,Passenger 383,female,79,2,0,TKT10383,17.31,,C
384,0,2,Passenger 384,male,6,2,1,TKT10384,70.42,C11,C
385,0,1,Passenger 385,male,21,4,2,TKT10385,176.53,C122,C
386,0,3,Passenger 386, Male ,53,3,0,TKT10386,187.93,C90,
387,0,2,Passenger 387,male,68,2,0,TKT10387,125.69,C122,
388,1,1,Passenger 388,male,,0,1,TKT10388,45.87,,S
389,1,1,Passenger 389,male,,2,1,TKT10389,86.72,C52,
390,1,1,Passenger 390,female,,2,1,TKT10390,33.26,,Q
391,1,2,Passenger 391,female,73,1,2,TKT10391,59.72,,C
392,1,1,Passenger 392,female,22,3,2,TKT10392,,,C
393,1,1,Passenger 393,male,76,3,0,TKT10393,183.18,,S
394,1,1,Passenger 394,male,,0,3,TKT10394,190.24,,
395,1,1,Passenger 395,female,,3,0,TKT10395,155.51,,Q
396,1,3,Passenger 396,male,79,4,2,TKT10396,158.6,,Q
397,0,2,Passenger 397,male,72,4,0,TKT10397,114.35,C149,C
398,1,2,Passenger 398,female,,4,0,TKT10398,59.04,,Q
399,0,2,Passenger 399,male,9,2,0,TKT10399,178.92,,C
400,0,2,Passenger 400,female,,3,3,TKT10400,86.22,,C
401,1,2,Passenger 401,female,,3,2,TKT10401,85.28,C79,C
402,0,3,Passenger 402,male,37,4,2,TKT10402,33.93,,C
403,0,3,Passenger 403,male,74,2,2,TKT10403,90.97,,C
404,0,1,Passenger 404,female,64,2,3,TKT10404,189.82,C147,C
405,0,3,Passenger 405,male,44,2,0,TKT10405,147.67,C115,Q
406,0,1,Passenger 406,male,75,4,3,TKT10406,157.35,C132,
