Date,Product,Category,Price,Quantity Sold,Total Sales
04-10-2025,Bread,Grocery,43.38,1,43.38
03-11-2025,Rice,Grocery,59.86,2,119.72
05-07-2025,Speaker,Electronics,4936.79,5,24683.95
03-05-2025,Laptop,Electronics,47408.72,10,474087.2
10-02-2025,Mouse,Electronics,732.47,2,1464.94
30-09-2025,Bread,Grocery,37.01,8,296.08
09-10-2025,Keyboard,Electronics,1429.52,10,14295.2
05-08-2025,Shoes,Fashion,2714.46,4,10857.84
09-06-2025,Milk,Grocery,60.45,6,362.7
13-08-2025,Speaker,Electronics,4515.82,2,9031.64
07-05-2025,Shoes,Fashion,2282.01,1,2282.01
29-10-2025,Headphones,Electronics,2838.07,4,11352.28
04-01-2025,Mouse,Electronics,729.1,1,729.1
28-04-2025,Mouse,Electronics,756.76,6,4540.56
,Headphones,Electronics,2842.8,8,22742.4
20-04-2025,Headphones,Electronics,2779.39,10,27793.9
23-10-2025,Phone,Electronics,18971.99,8,151775.92
28-07-2025,Shoes,Fashion,2297.16,7,16080.12
01-07-2025,Milk,Grocery,54.02,1,54.02
11-12-2025,Watch,Accessories,,2,7677.84
01-02-2025,Milk,Grocery,57.51,2,115.02
08-05-2025,Shoes,Fashion,2345.1,8,18760.8
13-03-2025,Milk,Grocery,51.52,8,412.16
08-05-2025,Tablet,Electronics,27116.33,8,216930.64
09-10-2025,Mouse,Electronics,637.08,9,5733.72
08-01-2025,Mouse,Electronics,759.69,4,3038.76
27-03-2025,Milk,Grocery,54.84,4,219.36
25-07-2025,Speaker,Electronics,4102.77,7,28719.39
02-01-2025,Milk,Grocery,52.42,8,419.36
27-05-2025,Milk,Grocery,57.16,9,514.44
05-12-2025,Jeans,Fashion,1795.2,4,7180.8
01-06-2025,Shoes,Fashion,2734.35,10,27343.5
05-10-2025,Laptop,Electronics,52479.76,1,52479.76
26-01-2025,Bag,Accessories,1194.43,9,10749.87
22-03-2025,Laptop,Electronics,54607.79,2,109215.58
06-04-2025,Mouse,Electronics,713.3,4,2853.2
26-07-2025,Mouse,Electronics,761.82,10,7618.2
07-05-2025,Bag,Accessories,1222.68,10,12226.8
11-02-2025,Milk,Grocery,56.73,10,567.3
25-09-2025,Rice,Grocery,65.22,4,260.88
09-12-2025,Jeans,Fashion,1733.11,5,8665.55
22-07-2025,Keyboard,Electronics,1551.51,5,7757.55
23-08-2025,Rice,Grocery,65.15,2,130.3
05-01-2025,Phone,Electronics,20484.64,10,204846.4
21-02-2025,Mouse,Electronics,705.27,9,6347.43
16-05-2025,Keyboard,Electronics,1629.98,2,3259.96
06-05-2025,Rice,Grocery,57.42,8,459.36
06-10-2025,Jeans,Fashion,1728.91,9,15560.19
05-01-2025,Watch,Accessories,3721.97,5,18609.85
06-12-2025,Mouse,Electronics,761.45,3,2284.35
16-05-2025,Mouse,Electronics,754.56,9,6791.04
21-03-2025,T-Shirt,Fashion,765.08,4,3060.32
25-06-2025,Shoes,Fashion,2593.75,5,12968.75
16-09-2025,Phone,Electronics,19004.49,1,19004.49
17-02-2025,Watch,Accessories,3446.5,5,17232.5
23-01-2025,Laptop,,48335.57,3,145006.71
23-11-2025,T-Shirt,Fashion,745.85,8,5966.8
10-10-2025,Jeans,Fashion,1773.97,1,1773.97
27-02-2025,Mouse,Electronics,762.31,3,2286.93
07-10-2025,Laptop,Electronics,53345.95,10,533459.5
10-10-2025,Keyboard,Electronics,1478.94,1,1478.94
07-06-2025,Rice,Grocery,64.79,1,64.79
03-07-2025,Shoes,Fashion,2591.03,2,5182.06
01-07-2025,Bread,Grocery,40.48,7,283.36
14-11-2025,Jeans,Fashion,1675.64,4,6702.56
25-03-2025,Bread,Grocery,42.49,7,297.43
13-01-2025,Keyboard,Electronics,1570.97,6,9425.82
30-07-2025,Bread,Grocery,41.36,4,165.44
17-05-2025,Keyboard,Electronics,1586.21,2,3172.42
15-07-2025,Tablet,Electronics,22693.62,8,181548.96
24-04-2025,Shoes,Fashion,2658.29,8,21266.32
29-06-2025,T-Shirt,Fashion,851.29,4,3405.16
25-04-2025,Laptop,Electronics,51600.33,7,361202.31
18-06-2025,T-Shirt,Fashion,858.3,5,4291.5
29-06-2025,Watch,Accessories,3506.58,9,31559.22
19-06-2025,Laptop,Electronics,46153.42,5,230767.1
02-04-2025,Bag,Accessories,1311.01,5,6555.05
20-01-2025,Mouse,Electronics,713.52,6,4281.12
10-06-2025,Milk,Grocery,56.17,9,505.53
01-03-2025,Milk,Grocery,59.39,4,237.56
11-05-2025,Laptop,Electronics,52087.85,1,52087.85
24-09-2025,Speaker,Electronics,4775.86,,19103.44
06-07-2025,Milk,Grocery,50.27,6,301.62
16-11-2025,Rice,Grocery,61.96,2,123.92
03-06-2025,Headphones,Electronics,2885.57,7,20198.99
17-06-2025,Milk,Grocery,57.17,9,514.53
07-03-2025,Shoes,Fashion,2460.22,7,17221.54
13-12-2025,Jeans,Fashion,1945.01,10,19450.1
19-10-2025,T-Shirt,Fashion,784.97,1,784.97
05-06-2025,T-Shirt,Fashion,753.63,10,7536.3
07-11-2025,Watch,Accessories,3375.57,8,27004.56
15-08-2025,Watch,Accessories,3299.59,8,26396.72
28-03-2025,Watch,Accessories,3209.36,9,28884.24
06-12-2025,Watch,Accessories,3583.48,2,7166.96
01-05-2025,Watch,Accessories,3367.29,4,13469.16
17-03-2025,Laptop,Electronics,45462.14,8,363697.12
09-11-2025,Tablet,Electronics,26342.45,8,210739.6
01-08-2025,Speaker,Electronics,4616.79,4,18467.16
23-12-2025,Milk,Grocery,54.94,4,219.76
17-03-2025,Watch,Accessories,3631.34,2,7262.68
06-08-2025,Shoes,Fashion,2337.94,9,21041.46
26-08-2025,Laptop,Electronics,50574.06,2,101148.12
22-08-2025,Keyboard,Electronics,1590.42,9,14313.78
14-10-2025,Bag,Accessories,1156.15,8,9249.2
10-11-2025,Tablet,Electronics,26096.37,9,234867.33
07-08-2025,Tablet,Electronics,27034.27,8,216274.16
23-03-2025,Jeans,Fashion,1930.14,8,15441.12
13-05-2025,Bread,Grocery,37.98,5,189.9
24-09-2025,Phone,Electronics,20506.99,5,102534.95
14-08-2025,Mouse,Electronics,729.9,4,2919.6
20-05-2025,Rice,Grocery,57.84,9,520.56
11-02-2025,Keyboard,Electronics,1395.25,7,9766.75
22-12-2025,Keyboard,Electronics,1561.93,2,3123.86
01-08-2025,Milk,Grocery,53.14,8,425.12
01-08-2025,Laptop,Electronics,47068.34,7,329478.38
19-07-2025,Speaker,Electronics,4742.82,1,4742.82
22-10-2025,Milk,Grocery,54.75,6,328.5
02-06-2025,Bread,Grocery,39.12,7,273.84
03-10-2025,Jeans,Fashion,1884.47,10,18844.7
23-04-2025,Phone,Electronics,18877.69,7,132143.83
06-09-2025,Laptop,Electronics,,7,342219.99
26-03-2025,Tablet,Electronics,24836.95,3,74510.85
15-11-2025,Headphones,Electronics,2716.18,7,19013.26
31-10-2025,Bag,Accessories,1239.12,2,2478.24
26-11-2025,Milk,Grocery,50.99,8,407.92
04-04-2025,Laptop,Electronics,47601.56,6,285609.36
19-04-2025,Phone,Electronics,19307.38,7,135151.66
23-05-2025,Bread,Grocery,43.61,7,305.27
10-05-2025,Tablet,Electronics,22909.53,1,22909.53
04-10-2025,Laptop,Electronics,54999.08,6,329994.48
25-04-2025,Watch,Accessories,3198.03,1,3198.03
16-01-2025,Shoes,Fashion,2349.68,1,2349.68
15-11-2025,Keyboard,Electronics,1421.56,8,11372.48
09-12-2025,Mouse,Electronics,,4,2835.84
27-08-2025,Jeans,Fashion,1712.25,6,10273.5
27-03-2025,Bag,Accessories,1225.74,2,2451.48
25-03-2025,T-Shirt,Fashion,737.3,1,737.3
09-06-2025,Bag,Accessories,1242.56,7,8697.92
23-07-2025,Jeans,Fashion,1691.4,10,16914
20-12-2025,Tablet,Electronics,25636.21,2,51272.42
23-12-2025,Bread,Grocery,38.41,10,384.1
03-03-2025,Bread,Grocery,43.87,1,43.87
27-06-2025,Headphones,Electronics,2957.03,6,17742.18
05-02-2025,Headphones,Electronics,3088.53,1,3088.53
04-08-2025,Tablet,Electronics,24951.01,7,174657.07
05-07-2025,Watch,Accessories,3774.1,8,30192.8
29-12-2025,Keyboard,Electronics,1480.65,9,13325.85
30-11-2025,T-Shirt,Fashion,818.55,9,7366.95
05-09-2025,Phone,Electronics,19742.3,10,197423
18-05-2025,Rice,Grocery,64.22,2,128.44
23-05-2025,Speaker,Electronics,4455.72,8,35645.76
19-10-2025,Bag,Accessories,1240.37,6,7442.22
15-01-2025,Phone,Electronics,21403.81,3,64211.43
07-09-2025,Shoes,Fashion,2427.41,5,12137.05
24-06-2025,T-Shirt,Fashion,860.85,5,4304.25
12-10-2025,Laptop,Electronics,50166.27,4,200665.08
13-02-2025,Shoes,Fashion,2610.04,8,20880.32
12-10-2025,Bread,Grocery,37.92,8,303.36
27-11-2025,Jeans,Fashion,1796.7,1,1796.7
17-02-2025,T-Shirt,Fashion,755.46,4,3021.84
06-06-2025,Watch,Accessories,3557.09,8,28456.72
11-10-2025,Headphones,Electronics,2906.25,9,26156.25
19-06-2025,Rice,Grocery,62.43,5,312.15
06-06-2025,T-Shirt,Fashion,756.89,4,3027.56
11-06-2025,Mouse,Electronics,734,3,2202
,Shoes,Fashion,2619.3,5,13096.5
29-10-2025,Bread,Grocery,40.2,5,201
21-02-2025,Tablet,Electronics,23470.59,4,93882.36
04-07-2025,Keyboard,Electronics,1440.68,9,12966.12
06-03-2025,T-Shirt,Fashion,727.28,1,727.28
11-10-2025,T-Shirt,Fashion,831.59,3,2494.77
23-11-2025,Tablet,Electronics,26263.96,2,52527.92
07-01-2025,Bag,Accessories,1148.24,8,9185.92
14-08-2025,Rice,Grocery,56.21,1,56.21
10-05-2025,Tablet,Electronics,24888.65,2,49777.3
25-07-2025,Phone,Electronics,18296.33,1,18296.33
19-03-2025,Keyboard,Electronics,1593.34,5,7966.7
13-02-2025,Shoes,Fashion,2309.23,7,16164.61
,Bag,Accessories,1269.78,4,5079.12
25-09-2025,Milk,Grocery,54.46,8,435.68
02-06-2025,Tablet,Electronics,25442.63,7,178098.41
06-06-2025,Bag,Accessories,1229.05,10,12290.5
20-02-2025,Bread,Grocery,37.66,4,150.64
16-05-2025,Watch,Accessories,3206.83,4,12827.32
30-03-2025,Headphones,Electronics,2745.04,1,2745.04
29-07-2025,Phone,Electronics,20757.48,8,166059.84
30-05-2025,Laptop,Electronics,47314.76,5,236573.8
26-12-2025,Tablet,Electronics,24770.16,4,99080.64
16-05-2025,Bread,Grocery,42.33,10,423.3
05-12-2025,Bread,Grocery,43.47,7,304.29
28-02-2025,Headphones,Electronics,2834.89,3,8504.67
17-05-2025,Tablet,Electronics,23211.18,1,23211.18
26-03-2025,Bread,Grocery,38.46,10,384.6
28-05-2025,Phone,Electronics,18497.41,5,92487.05
25-12-2025,Milk,Grocery,59.87,9,538.83
04-10-2025,Phone,Electronics,19751.04,10,197510.4
21-01-2025,Speaker,Electronics,4438.83,6,26632.98
06-11-2025,T-Shirt,Fashion,724.14,4,2896.56
12-12-2025,Tablet,Electronics,26802.58,10,268025.8
11-01-2025,Bread,Grocery,41.38,5,206.9
23-10-2025,Laptop,Electronics,52631.09,3,157893.27
29-08-2025,Headphones,Electronics,3090.91,5,15454.55
03-04-2025,Bag,Accessories,1184.61,8,9476.88
16-02-2025,Phone,Electronics,19391.84,6,116351.04
14-06-2025,Watch,Accessories,3223.22,3,9669.66
,Milk,Grocery,57.13,5,285.65
06-12-2025,Milk,Grocery,58.45,9,526.05
19-01-2025,Phone,Electronics,18352.24,5,91761.2
15-06-2025,Mouse,Electronics,765.83,7,5360.81
21-09-2025,Tablet,Electronics,27440.6,9,246965.4
25-08-2025,Milk,Grocery,50.1,9,450.9
05-07-2025,Bag,Accessories,1261.55,8,10092.4
27-01-2025,Shoes,Fashion,2383.53,3,7150.59
28-05-2025,Phone,Electronics,21523.39,8,172187.12
04-03-2025,Laptop,Electronics,54731.47,10,547314.7
03-05-2025,Jeans,Fashion,1677.02,9,15093.18
08-01-2025,Headphones,Electronics,2944.79,4,11779.16
28-02-2025,Phone,Electronics,21788.24,3,65364.72
13-09-2025,Speaker,Electronics,4694.94,,42254.46
28-12-2025,T-Shirt,Fashion,786.48,8,6291.84
30-08-2025,Shoes,Fashion,2478.39,3,7435.17
,Shoes,Fashion,2710.93,9,24398.37
11-03-2025,Tablet,Electronics,22849.05,7,159943.35
24-06-2025,,Electronics,4758.95,5,23794.75
02-01-2025,T-Shirt,Fashion,836.17,10,8361.7
24-10-2025,Watch,Accessories,3492.75,3,10478.25
17-08-2025,Headphones,Electronics,2990.6,6,17943.6
10-10-2025,Bread,Grocery,40.35,8,322.8
14-06-2025,Tablet,Electronics,23443.26,4,93773.04
20-10-2025,Milk,Grocery,52.07,7,364.49
23-01-2025,Rice,Grocery,62.94,7,440.58
17-07-2025,Watch,Accessories,3704.68,3,11114.04
11-09-2025,Laptop,Electronics,46262.46,10,462624.6
19-06-2025,Tablet,Electronics,23001.82,8,184014.56
21-02-2025,Headphones,Electronics,3246.27,1,3246.27
15-03-2025,Milk,Grocery,59.08,3,177.24
08-02-2025,Phone,Electronics,21126.1,5,105630.5
23-06-2025,Bag,Accessories,1246.25,2,2492.5
18-06-2025,Tablet,Electronics,25871.79,9,232846.11
14-07-2025,Rice,Grocery,61.52,8,492.16
05-10-2025,Laptop,Electronics,51174.59,4,204698.36
20-11-2025,Watch,Accessories,3794.65,4,15178.6
16-02-2025,Milk,Grocery,60.26,2,120.52
16-08-2025,Keyboard,Electronics,1558.2,1,1558.2
24-01-2025,Rice,Grocery,63.55,5,317.75
03-07-2025,Rice,Grocery,59.17,4,236.68
29-09-2025,Milk,Grocery,55.73,3,167.19
29-03-2025,Keyboard,Electronics,1373.69,7,9615.83
14-11-2025,Watch,Accessories,3318.58,10,33185.8
15-03-2025,Shoes,Fashion,2480.57,5,12402.85
24-08-2025,T-Shirt,Fashion,826.69,8,6613.52
28-05-2025,Watch,Accessories,3532.62,2,7065.24
15-08-2025,Rice,Grocery,65.85,5,329.25
24-11-2025,Milk,Grocery,57.09,8,456.72
04-06-2025,Shoes,Fashion,2749.69,8,21997.52
24-02-2025,Shoes,Fashion,2440.68,6,14644.08
22-10-2025,T-Shirt,Fashion,878.83,5,4394.15
12-01-2025,Tablet,Electronics,25791.15,5,128955.75
05-01-2025,Bag,Accessories,1287.62,1,1287.62
07-11-2025,Jeans,Fashion,1798.82,5,8994.1
28-04-2025,Bag,Accessories,1272.46,4,5089.84
22-11-2025,Shoes,Fashion,2560.45,3,7681.35
18-11-2025,Mouse,Electronics,756.48,1,756.48
08-06-2025,Bread,Grocery,39.53,10,395.3
06-07-2025,Jeans,Fashion,1667.31,5,8336.55
17-06-2025,Jeans,Fashion,1769.58,4,7078.32
09-03-2025,Bread,Grocery,40.32,6,241.92
29-09-2025,Headphones,Electronics,3248.09,3,9744.27
12-05-2025,Speaker,Electronics,4792.22,8,38337.76
01-06-2025,Jeans,Fashion,1933.34,2,3866.68
28-08-2025,Mouse,Electronics,649.71,4,2598.84
13-12-2025,Jeans,Fashion,1862.79,7,13039.53
13-10-2025,Rice,Grocery,55.08,7,385.56
08-01-2025,T-Shirt,Fashion,805.85,8,6446.8
08-07-2025,Watch,Accessories,3674.31,5,18371.55
27-10-2025,Milk,Grocery,58.55,6,351.3
25-02-2025,Watch,Accessories,3313.68,1,3313.68
14-11-2025,Speaker,Electronics,4898.85,6,29393.1
09-11-2025,Shoes,Fashion,2573.83,8,20590.64
25-12-2025,T-Shirt,Fashion,823.88,2,1647.76
13-03-2025,Laptop,Electronics,54462.62,5,272313.1
10-09-2025,Mouse,Electronics,643.61,9,5792.49
11-03-2025,Milk,Grocery,54.49,9,490.41
03-08-2025,Bag,Accessories,1258.14,3,3774.42
01-08-2025,Watch,Accessories,3219.32,8,25754.56
12-11-2025,Milk,Grocery,59.83,5,299.15
17-01-2025,Jeans,Fashion,1753.39,8,
16-08-2025,Shoes,Fashion,2677.73,2,5355.46
18-12-2025,Rice,Grocery,60.53,6,363.18
01-02-2025,Milk,Grocery,52.53,2,105.06
21-08-2025,Mouse,Electronics,722.79,10,7227.9
11-01-2025,Laptop,Electronics,52867.95,4,211471.8
06-03-2025,Bread,Grocery,40.52,2,81.04
11-10-2025,Shoes,Fashion,2543.19,4,10172.76
18-06-2025,Bread,Grocery,37.18,10,371.8
02-01-2025,T-Shirt,Fashion,857.34,3,2572.02
08-03-2025,Headphones,Electronics,2850.39,3,8551.17
26-02-2025,Watch,Accessories,3756.51,3,11269.53
08-01-2025,Rice,Grocery,63.48,4,253.92
29-10-2025,Rice,Grocery,54.19,5,270.95
27-01-2025,Keyboard,Electronics,1572.52,9,14152.68
28-02-2025,Jeans,Fashion,1642.88,8,13143.04
05-07-2025,Headphones,Electronics,3056.2,8,24449.6
15-09-2025,Shoes,Fashion,2722.71,1,2722.71
04-12-2025,Headphones,Electronics,2880.98,1,2880.98
01-02-2025,Phone,Electronics,21389.19,7,149724.33
18-12-2025,Mouse,Electronics,698.64,8,5589.12
07-02-2025,Speaker,Electronics,4122.71,10,41227.1
17-03-2025,Mouse,Electronics,647.67,10,6476.7
21-11-2025,Bag,Accessories,1211.61,6,7269.66
15-07-2025,Bag,Accessories,1207.33,8,9658.64
16-09-2025,Bag,Accessories,1183.25,2,2366.5
02-12-2025,Watch,Accessories,3764.39,9,33879.51
21-04-2025,Milk,Grocery,54.47,4,217.88
31-07-2025,Rice,Grocery,63.93,7,447.51
01-08-2025,Jeans,Fashion,1654.23,7,11579.61
,Watch,Accessories,3328.42,3,9985.26
18-12-2025,Speaker,Electronics,4476.84,2,8953.68
13-02-2025,Mouse,Electronics,690.46,6,4142.76
08-03-2025,Headphones,Electronics,2735.99,9,24623.91
15-10-2025,Rice,Grocery,62.04,7,434.28
01-07-2025,Tablet,Electronics,25826.7,7,180786.9
27-01-2025,T-Shirt,Fashion,816.07,6,4896.42
23-02-2025,Bag,Accessories,1201.78,3,3605.34
03-12-2025,Phone,Electronics,18896.98,2,37793.96
29-06-2025,Tablet,Electronics,25281.33,2,50562.66
23-05-2025,Bag,Accessories,1134.28,7,7939.96
15-10-2025,Bread,Grocery,42.55,10,425.5
12-12-2025,Watch,Accessories,3539.72,10,35397.2
03-12-2025,Tablet,Electronics,25967.36,1,25967.36
03-04-2025,T-Shirt,Fashion,832.43,5,4162.15
23-06-2025,Rice,Grocery,54.07,3,162.21
17-10-2025,Watch,Accessories,3430.55,3,10291.65
21-11-2025,Laptop,Electronics,45917.58,9,413258.22
21-04-2025,Milk,Grocery,54.12,6,324.72
22-03-2025,Rice,Grocery,57.74,6,346.44
18-10-2025,,Accessories,1100.39,1,1100.39
21-03-2025,Keyboard,Electronics,1576.33,1,1576.33
12-12-2025,Mouse,Electronics,668.09,7,4676.63
06-09-2025,Bag,Accessories,1186.09,5,5930.45
21-04-2025,Bread,Grocery,40.1,6,240.6
09-08-2025,Mouse,Electronics,669.65,10,6696.5
07-09-2025,Headphones,Electronics,3100.28,1,3100.28
23-04-2025,Milk,Grocery,60.33,1,60.33
04-01-2025,Shoes,Fashion,2400.71,4,9602.84
12-03-2025,Bread,Grocery,38.04,6,228.24
03-03-2025,Laptop,,49973.85,7,349816.95
31-03-2025,Keyboard,Electronics,1464.06,4,5856.24
14-09-2025,Headphones,Electronics,3200.01,6,19200.06
06-02-2025,Milk,Grocery,58.98,1,58.98
12-08-2025,Laptop,Electronics,49597.54,2,99195.08
10-06-2025,Bag,Accessories,1183.03,7,8281.21
30-12-2025,Watch,Accessories,3442.39,2,6884.78
27-07-2025,Laptop,Electronics,54662,3,163986
13-11-2025,Phone,Electronics,21328.1,6,127968.6
15-02-2025,Milk,Grocery,58.79,4,235.16
12-08-2025,Bag,Accessories,1176.11,2,2352.22
22-07-2025,Tablet,Electronics,24051.37,6,144308.22
24-04-2025,Rice,Grocery,63.35,2,126.7
19-09-2025,Watch,Accessories,3229.82,9,29068.38
10-04-2025,Speaker,Electronics,4748.61,6,28491.66
27-11-2025,Tablet,Electronics,23238.45,2,46476.9
16-03-2025,T-Shirt,Fashion,751.56,10,7515.6
20-03-2025,Bread,Grocery,42.07,2,84.14
01-04-2025,Bread,Grocery,41.02,8,328.16
16-10-2025,Bread,Grocery,40.64,10,406.4
26-11-2025,Watch,Accessories,3840.57,6,23043.42
18-11-2025,Rice,Grocery,55.81,2,111.62
29-08-2025,Phone,Electronics,20525.54,5,102627.7
30-10-2025,Laptop,Electronics,48519.42,2,97038.84
08-06-2025,Phone,Electronics,19807.66,1,19807.66
08-07-2025,Tablet,Electronics,23935.39,2,
11-11-2025,Bag,Accessories,1201.7,8,9613.6
25-10-2025,Headphones,Electronics,3272.54,1,3272.54
19-08-2025,Speaker,Electronics,4778.83,4,19115.32
14-06-2025,Bag,Accessories,1194.15,,3582.45
01-02-2025,Phone,Electronics,18414.01,6,110484.06
13-02-2025,Headphones,Electronics,3087.68,1,3087.68
07-05-2025,Jeans,Fashion,1777.59,8,14220.72
26-09-2025,Headphones,Electronics,3065.88,6,18395.28
10-07-2025,Speaker,Electronics,4304.6,7,30132.2
23-06-2025,Watch,Accessories,3568.52,6,21411.12
03-02-2025,Rice,Grocery,55.13,7,385.91
26-05-2025,T-Shirt,Fashion,835.8,10,8358
18-03-2025,Rice,Grocery,54.98,3,164.94
29-06-2025,T-Shirt,Fashion,874.83,7,6123.81
08-03-2025,Bag,Accessories,1250.12,2,2500.24
08-06-2025,Headphones,Electronics,2926.01,6,17556.06
07-03-2025,Watch,Accessories,3641.98,9,32777.82
17-02-2025,Watch,Accessories,3619.32,9,32573.88
05-07-2025,Laptop,Electronics,48625.98,3,145877.94
20-04-2025,Rice,Grocery,65.37,8,522.96
09-04-2025,Shoes,Fashion,2749.99,3,8249.97
09-02-2025,T-Shirt,Fashion,855.11,2,1710.22
17-09-2025,Bread,Grocery,40.32,9,362.88
20-01-2025,Watch,Accessories,3385.74,10,33857.4
09-03-2025,Bag,Accessories,1170.41,3,3511.23
03-04-2025,Tablet,Electronics,25964.23,10,259642.3
26-03-2025,Jeans,Fashion,1777.56,7,12442.92
06-07-2025,Watch,Accessories,3653.71,8,29229.68
09-11-2025,T-Shirt,Fashion,840.38,8,6723.04
30-04-2025,Headphones,Electronics,2843.5,8,22748
10-04-2025,Rice,Grocery,62.14,10,621.4
14-08-2025,Phone,Electronics,21077.75,7,147544.25
15-09-2025,Headphones,Electronics,2951.2,,8853.6
13-04-2025,Bread,Grocery,40.84,5,204.2
27-01-2025,Watch,Accessories,3486.41,6,20918.46
11-10-2025,Speaker,Electronics,4142.33,9,37280.97
05-03-2025,T-Shirt,Fashion,733.42,3,2200.26
20-05-2025,Phone,Electronics,21621.22,3,64863.66
12-08-2025,Mouse,Electronics,762.5,4,3050
19-08-2025,Speaker,Electronics,4364.63,1,4364.63
01-08-2025,Laptop,Electronics,48964.54,6,293787.24
01-05-2025,Milk,Grocery,60.44,6,362.64
25-04-2025,Laptop,Electronics,48186.85,2,96373.7
29-11-2025,Rice,Grocery,63.5,3,190.5
20-01-2025,T-Shirt,Fashion,866.78,8,6934.24
23-12-2025,Tablet,Electronics,23193.96,8,185551.68
18-08-2025,Bag,Accessories,1081.26,2,2162.52
10-01-2025,,Fashion,754.5,3,2263.5
08-10-2025,Jeans,Fashion,1839.2,7,12874.4
26-02-2025,Bread,Grocery,38.3,5,191.5
04-03-2025,Laptop,Electronics,47384.4,10,473844
23-08-2025,Mouse,Electronics,645.52,8,5164.16
02-11-2025,Headphones,Electronics,2709.86,9,24388.74
22-10-2025,Shoes,Fashion,2609.27,5,13046.35
08-08-2025,Laptop,Electronics,51148.1,4,
20-10-2025,Milk,Grocery,51.56,2,103.12
26-09-2025,Rice,Grocery,54.81,9,493.29
06-10-2025,Headphones,Electronics,3171.85,9,
11-10-2025,Laptop,Electronics,48904.54,8,391236.32
23-01-2025,Watch,Accessories,3420.82,6,20524.92
10-05-2025,Jeans,Fashion,1625.85,2,3251.7
26-06-2025,Shoes,Fashion,2616.47,2,5232.94
25-10-2025,Jeans,Fashion,1892.4,3,5677.2
23-01-2025,Rice,Grocery,,3,181.65
17-12-2025,Phone,Electronics,21923.28,8,175386.24
20-11-2025,Keyboard,Electronics,1593.45,2,3186.9
23-08-2025,Laptop,Electronics,47934.43,1,47934.43
13-04-2025,Speaker,Electronics,4087.72,5,20438.6
21-09-2025,Milk,Grocery,60.38,9,
31-08-2025,T-Shirt,Fashion,725.86,4,
27-05-2025,Rice,Grocery,64.35,1,64.35
02-12-2025,Rice,Grocery,,6,343.68
12-08-2025,Speaker,Electronics,4410.02,8,35280.16
17-07-2025,Rice,Grocery,65.68,8,525.44
21-12-2025,Phone,Electronics,19469.39,9,175224.51
17-05-2025,Bread,Grocery,36.66,7,256.62
10-02-2025,Milk,Grocery,56.13,3,168.39
07-10-2025,T-Shirt,Fashion,771.39,2,1542.78
17-06-2025,Watch,Accessories,3356.95,8,26855.6
05-11-2025,Jeans,Fashion,1773.4,8,14187.2
29-06-2025,Phone,Electronics,18169.42,6,109016.52
11-11-2025,Milk,Grocery,52.52,1,52.52
08-02-2025,Watch,Accessories,3596.26,6,21577.56
20-09-2025,Bread,Grocery,42,3,126
16-01-2025,Keyboard,Electronics,1604.6,8,12836.8
18-01-2025,Keyboard,Electronics,1370.17,,8221.02
05-07-2025,Milk,Grocery,59.94,1,59.94
06-11-2025,Keyboard,Electronics,1553.72,6,9322.32
10-07-2025,Phone,Electronics,21052.34,10,
12-03-2025,Headphones,Electronics,2920.17,6,17521.02
